YEAR,MONTH,DAY,ID,GFISH,area,boundary_pixel,internal_pixel,internal_water_pixel,water_ratio
2025,03,25,mtn15514,文蛤,1.0969264394836569,54,84,69,0.8214285714285714
2025,03,25,mtn15727,虱目魚,0.3860879280040776,28,25,16,0.64
2025,03,25,mtn15801,龍虎斑,0.7250897430619517,38,52,22,0.4230769230769231
2025,03,25,mtn15721,虱目魚,0.6347580326544082,36,46,30,0.6521739130434783
2025,03,25,mtn15788,龍虎斑,0.6355133371228492,36,46,34,0.7391304347826086
2025,03,25,mtn15568,虱目魚,0.9070269786265006,44,69,30,0.43478260869565216
2025,03,25,mtn15560,虱目魚,0.8889448863668544,44,67,39,0.582089552238806
2025,03,25,mtn15536,虱目魚,0.933464991923576,46,72,47,0.6527777777777778
2025,03,25,mtn15527,虱目魚,0.8298257613748631,44,61,32,0.5245901639344263
2025,03,25,mtn15797,休養或廢棄池,1.0150969755381474,56,72,2,0.027777777777777776
2025,03,25,mtn15509,空池(整池),3.8281554975475447,92,336,295,0.8779761904761905
2025,03,25,mtn15885,空池(整池),0.9242864263712914,50,66,32,0.48484848484848486
2025,03,25,mtn15844,休養或廢棄池,0.9446918700184457,59,64,2,0.03125
2025,03,25,mtn15758,休養或廢棄池,1.0740984326857583,58,78,2,0.02564102564102564
2025,03,25,mtn15535,空池(整池),1.0848891583637892,54,84,65,0.7738095238095238
2025,03,25,mtn15491,空池(整池),0.337869162718053,27,20,16,0.8
2025,03,25,mtn15523,空池(整池),0.3402422953895623,28,21,21,1.0
2025,03,25,mtn15566,空池(整池),0.3578189667081525,26,23,22,0.9565217391304348
2025,03,25,mtn15713,空池(整池),1.079727907481315,58,79,25,0.31645569620253167
2025,03,25,mtn15647,空池(整池),1.465143008032969,62,115,65,0.5652173913043478
2025,03,25,mtn15365,空池(整池),0.5042495371090461,36,37,26,0.7027027027027027
2025,03,25,mtn15578,拒訪,0.35322722387430594,26,24,15,0.625
2025,03,25,mtn15466,空池(整池),3.8661386102625737,90,340,68,0.2
2025,03,25,mtn15428,文蛤,3.7547551508208468,88,328,263,0.801829268292683
2025,03,25,mtn15446,文蛤,3.8016370911782107,88,330,299,0.906060606060606
2025,03,25,mtn15490,空池(整池),3.9421537964942894,90,347,89,0.2564841498559078
2025,03,25,mtn15824,龍虎斑,0.6528853202520978,37,46,1,0.021739130434782608
2025,03,25,mtn15613,虱目魚,0.7708297241623601,40,56,33,0.5892857142857143
2025,03,25,mtn15357,虱目魚,3.7828880310960544,94,331,278,0.8398791540785498
2025,03,25,mtn15766,虱目魚,0.4582685871705309,32,30,16,0.5333333333333333
2025,03,25,mtn15814,龍虎斑,0.662443344254498,36,48,17,0.3541666666666667
2025,03,25,mtn15640,空池(整池),0.7175789909308817,39,53,16,0.3018867924528302
2025,03,25,mtn15653,虱目魚,0.7129834821991129,40,52,4,0.07692307692307693
2025,03,25,mtn15552,虱目魚,0.9406300293484575,46,71,46,0.647887323943662
2025,03,25,mtn15567,虱目魚,0.7682755996854089,49,53,33,0.6226415094339622
2025,03,25,mtn15593,空池(整池),0.8310755843783926,54,57,23,0.40350877192982454
2025,03,25,mtn15619,虱目魚,0.8347788427790983,50,59,37,0.6271186440677966
2025,03,25,mtn15626,虱目魚,0.829073213145395,43,63,44,0.6984126984126984
2025,03,25,mtn15636,虱目魚,0.8677874536467736,42,67,46,0.6865671641791045
2025,03,25,mtn15648,虱目魚,0.8502124371735479,44,64,48,0.75
2025,03,25,mtn15664,虱目魚,0.972926392956354,46,73,49,0.6712328767123288
2025,03,25,mtn15646,文蛤,1.0144697752830243,52,76,20,0.2631578947368421
2025,03,25,mtn15657,文蛤,0.9094127780442776,50,66,55,0.8333333333333334
2025,03,25,mtn15668,文蛤,1.1277731135649618,54,86,28,0.32558139534883723
2025,03,25,mtn15675,文蛤,0.973154099030643,48,74,50,0.6756756756756757
2025,03,25,mtn15547,文蛤,1.086293931443966,55,81,57,0.7037037037037037
2025,03,25,mtn15559,文蛤,1.8644771387519241,63,156,129,0.8269230769230769
2025,03,25,mtn15745,虱目魚,0.7907176609945559,41,60,34,0.5666666666666667
2025,03,25,mtn15757,虱目魚,0.7931096204457112,38,59,39,0.6610169491525424
2025,03,25,mtn15768,虱目魚,0.7706083387857773,42,57,35,0.6140350877192983
2025,03,25,mtn15685,文蛤,0.9559268651213623,50,70,51,0.7285714285714285
2025,03,25,mtn15696,文蛤,0.8069291425471915,47,58,40,0.6896551724137931
2025,03,25,mtn15720,虱目魚,0.829219897075557,42,63,32,0.5079365079365079
2025,03,25,mtn15736,虱目魚,0.7639557117562704,41,56,11,0.19642857142857142
2025,03,25,mtn15667,空池(整池),0.7831061684051853,39,58,3,0.05172413793103448
2025,03,25,mtn15676,虱目魚,0.3887475297765577,31,25,5,0.2
2025,03,25,mtn15603,虱目魚,0.7558790716176995,51,51,23,0.45098039215686275
2025,03,25,mtn15115,虱目魚,3.3965321649626232,83,297,14,0.04713804713804714
2025,03,25,mtn14815,虱目魚,3.864438703768754,98,337,95,0.2818991097922849
2025,03,25,mtn14887,虱目魚,3.7384922634784328,97,324,0,0.0
2025,03,25,mtn14780,虱目魚,4.23326064302606,102,369,106,0.2872628726287263
2025,03,25,mtn14635,文蛤,1.2265972936166651,58,93,32,0.34408602150537637
2025,03,25,mtn15181,虱目魚,0.5737850334879727,34,42,28,0.6666666666666666
2025,03,25,mtn14995,虱目魚,0.40606596457638017,28,27,13,0.48148148148148145
2025,03,25,mtn14974,文蛤,3.043965737763734,82,263,219,0.8326996197718631
2025,03,25,mtn14991,虱目魚,3.5637647116985156,88,312,38,0.12179487179487179
2025,03,25,mtn14860,虱目魚,3.146044293296392,96,267,0,0.0
2025,03,25,mtn14959,文蛤,2.9534458300570945,80,257,211,0.8210116731517509
2025,03,25,mtn14693,文蛤,1.114718682649575,58,84,43,0.5119047619047619
2025,03,25,mtn14704,文蛤,1.072150252784872,56,81,47,0.5802469135802469
2025,03,25,mtn14715,文蛤,1.018902185412258,54,76,29,0.3815789473684211
2025,03,25,mtn14719,文蛤,1.0548783793022318,56,79,29,0.3670886075949367
2025,03,25,mtn14698,空池(整池),1.064327093138309,55,79,45,0.569620253164557
2025,03,25,mtn15367,虱目魚,4.7484817597805185,100,422,389,0.9218009478672986
2025,03,25,mtn14668,空池(整池),1.164300263486022,59,87,51,0.5862068965517241
2025,03,25,mtn15077,虱目魚,0.27300592629330417,25,15,9,0.6
2025,03,25,mtn15030,虱目魚,0.8053907530124802,42,61,44,0.7213114754098361
2025,03,25,mtn15033,虱目魚,0.3636668532022859,28,22,13,0.5909090909090909
2025,03,25,mtn15306,文蛤,3.0339295756104363,82,261,234,0.896551724137931
2025,03,25,mtn15101,空池(整池),3.737473845554603,90,329,292,0.8875379939209727
2025,03,25,mtn15083,文蛤,3.8159375594602185,90,336,287,0.8541666666666666
2025,03,25,mtn15146,虱目魚,1.4239802295839075,58,115,88,0.7652173913043478
2025,03,25,mtn15009,虱目魚,0.6533952187768549,34,47,34,0.723404255319149
2025,03,25,mtn15095,虱目魚,0.4117113934447593,32,27,13,0.48148148148148145
2025,03,25,mtn14976,虱目魚,0.7177478929329827,38,52,32,0.6153846153846154
2025,03,25,mtn15296,文蛤,2.140117424503636,66,180,158,0.8777777777777778
2025,03,25,mtn15198,虱目魚,0.5597268366664905,32,40,26,0.65
2025,03,25,mtn15194,虱目魚,0.5013326148267653,32,35,19,0.5428571428571428
2025,03,25,mtn15024,虱目魚,0.5598970072868584,36,38,27,0.7105263157894737
2025,03,25,mtn14918,空池(整池),3.5112260017201393,92,305,92,0.3016393442622951
2025,03,25,mtn15204,虱目魚,1.4748715931981013,54,121,95,0.7851239669421488
2025,03,25,mtn15213,虱目魚,4.8254017856570375,101,431,402,0.9327146171693735
2025,03,25,mtn15320,空池(整池),3.29480347547551,83,288,94,0.3263888888888889
2025,03,25,mtn14845,空池(整池),3.5461962275802597,92,307,30,0.09771986970684039
2025,03,25,mtn14726,文蛤,1.119839176862227,56,84,38,0.4523809523809524
2025,03,25,mtn14625,文蛤,1.3469904502537382,60,105,38,0.3619047619047619
2025,03,25,mtn15035,虱目魚,0.26606071593176095,24,16,6,0.375
2025,03,25,mtn15073,虱目魚,0.5327753949962429,43,32,13,0.40625
2025,03,25,mtn14647,文蛤,1.3191087631951084,62,102,49,0.4803921568627451
2025,03,25,mtn14674,文蛤,1.0138723447547315,52,76,39,0.5131578947368421
2025,03,25,mtn15342,空池(整池),3.3226508560695,84,289,28,0.09688581314878893
2025,03,25,mtn15376,空池(整池),2.7819686168085953,78,237,219,0.9240506329113924
2025,03,25,mtn14686,文蛤,1.9528791253606286,76,159,116,0.7295597484276729
2025,03,25,mtn14656,文蛤,1.1704659085724063,58,88,46,0.5227272727272727
2025,03,25,mtn15094,虱目魚,0.5545663964646297,34,39,22,0.5641025641025641
2025,03,25,mtn15211,餌料池(輪虫),0.6017148022293215,35,42,23,0.5476190476190477
2025,03,25,mtn15147,虱目魚,0.5657960382230921,34,41,30,0.7317073170731707
2025,03,25,mtn15229,文蛤,1.4257946689435899,62,113,89,0.7876106194690266
2025,03,25,mtn14999,虱目魚,0.2846344980560575,26,18,11,0.6111111111111112
2025,03,25,mtn15098,吳郭魚,0.22948930979275306,22,13,8,0.6153846153846154
2025,03,25,mtn15066,吳郭魚,0.2945612312382619,24,17,12,0.7058823529411765
2025,03,25,mtn15152,虱目魚,0.5407706445581901,32,38,28,0.7368421052631579
2025,03,25,mtn15224,虱目魚,0.569465444042872,35,40,30,0.75
2025,03,25,mtn14897,空池(整池),1.2179392143150753,60,91,64,0.7032967032967034
2025,03,25,mtn14783,文蛤,2.026005696631446,66,171,150,0.8771929824561403
2025,03,25,mtn15271,虱目魚,0.4020321325088585,28,27,19,0.7037037037037037
2025,03,25,mtn14770,文蛤,2.080344223676951,66,176,142,0.8068181818181818
2025,03,25,mtn15173,虱目魚,0.3620908853595582,28,23,20,0.8695652173913043
2025,03,25,mtn15234,虱目魚,0.5541561269629842,36,39,30,0.7692307692307693
2025,03,25,mtn15162,虱目魚,0.577988871220411,34,41,30,0.7317073170731707
2025,03,25,mtn15203,虱目魚,0.3636628941819271,27,23,17,0.7391304347826086
2025,03,25,mtn15110,虱目魚,0.6300867865647055,35,45,32,0.7111111111111111
2025,03,25,mtn15165,虱目魚,0.3638322681199222,26,24,17,0.7083333333333334
2025,03,25,mtn15161,虱目魚,0.37742574776412424,27,25,10,0.4
2025,03,25,mtn15104,虱目魚,0.6142243168163335,36,44,28,0.6363636363636364
2025,03,25,mtn15264,虱目魚,0.35205568589384245,28,23,17,0.7391304347826086
2025,03,25,mtn15040,虱目魚,0.5314108490347182,32,38,22,0.5789473684210527
2025,03,25,mtn15052,虱目魚,0.541194690101747,34,39,26,0.6666666666666666
2025,03,25,mtn15062,虱目魚,0.49331646075568736,32,34,23,0.6764705882352942
2025,03,25,mtn14872,空池(整池),3.264570590802405,87,281,46,0.16370106761565836
2025,03,25,mtn14759,文蛤,1.2659823620183062,60,98,59,0.6020408163265306
2025,03,25,mtn14948,空池(整池),3.540258774389149,91,308,47,0.1525974025974026
2025,03,25,mtn14982,空池(整池),1.1821410479221692,56,92,0,0.0
2025,03,25,mtn15037,虱目魚,0.5028901080444471,37,31,23,0.7419354838709677
2025,03,25,mtn15100,虱目魚,0.5541418403707369,36,39,30,0.7692307692307693
2025,03,25,mtn14909,文蛤,2.4493412968053017,70,206,181,0.8786407766990292
2025,03,25,mtn15086,虱目魚,0.38991287545420483,28,27,19,0.7037037037037037
2025,03,25,mtn15010,虱目魚,0.3130977898198257,26,18,10,0.5555555555555556
2025,03,25,mtn14740,空池(整池),3.3451238278604287,80,291,233,0.8006872852233677
2025,03,25,mtn15136,虱目魚,0.5768238407352384,34,41,21,0.5121951219512195
2025,03,25,mtn15124,虱目魚,0.4621882115777541,29,32,20,0.625
2025,03,25,mtn15158,虱目魚,1.4809599503978588,56,119,80,0.6722689075630253
2025,03,25,mtn15141,虱目魚,0.5345280596014098,32,37,20,0.5405405405405406
2025,03,25,mtn15118,虱目魚,0.6029349884423099,36,44,23,0.5227272727272727
2025,03,25,mtn15135,吳郭魚,0.3956736164286577,28,27,22,0.8148148148148148
2025,03,25,mtn15738,虱目魚,0.35148460030445144,26,23,11,0.4782608695652174
2025,03,25,mtn15687,虱目魚,0.37670989504026925,30,23,6,0.2608695652173913
2025,03,25,mtn15452,文蛤,0.285,28,15,0,0.0
2025,03,25,mtn15463,空池(整池),0.356,34,21,11,0.5238095238095238
2025,03,25,mtn14905,虱目魚,0.388,46,17,2,0.11764705882352941
2025,03,25,mtn15476,虱目魚,0.394,35,21,6,0.2857142857142857
2025,03,25,mtn15488,空池(整池),0.159,18,7,1,0.14285714285714285
2025,03,25,mtn14930,文蛤,0.5,50,27,10,0.37037037037037035
2025,03,25,mtn15082,虱目魚,0.334,26,20,9,0.45
2025,03,25,mtn15071,虱目魚,0.293,30,18,6,0.3333333333333333
2025,03,25,mtn15039,餌料池(輪虫),0.052,10,1,0,0.0
2025,03,25,mtn14970,虱目魚,0.228,24,13,0,0.0
2025,03,25,mtn15045,餌料池(輪虫),0.103,14,4,0,0.0
2025,03,25,mtn15049,餌料池(輪虫),0.105,12,4,0,0.0
2025,03,25,mtn15044,虱目魚,0.15,22,5,0,0.0
2025,03,25,mtn15743,虱目魚,0.222,24,13,0,0.0
2025,03,25,mtn15029,餌料池(輪虫),0.02,7,0,0,
2025,03,25,mtn15747,虱目魚,0.224,22,12,2,0.16666666666666666
2025,03,25,mtn15753,虱目魚,0.215,24,10,2,0.2
2025,03,25,mtn15099,虱目魚,0.235,20,14,6,0.42857142857142855
2025,03,25,mtn15759,虱目魚,0.218,22,11,0,0.0
2025,03,25,mtn15267,虱目魚,0.184,20,8,2,0.25
2025,03,25,mtn15241,虱目魚,0.184,22,9,3,0.3333333333333333
2025,03,25,mtn15228,虱目魚,0.2,22,11,1,0.09090909090909091
2025,03,25,mtn15196,虱目魚,0.161,21,7,3,0.42857142857142855
2025,03,25,mtn15545,拒訪,0.215,21,13,5,0.38461538461538464
2025,03,25,mtn15238,虱目魚,0.218,24,10,5,0.5
2025,03,25,mtn15207,虱目魚,0.188,22,10,5,0.5
2025,03,25,mtn15515,拒訪,0.173,20,9,6,0.6666666666666666
